1,7512347.847,4687406.853,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
2,7512339.092,4687371.759,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
30685,7512258.843,4687429.217,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
30686,7512245.989,4687417.244,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
30687,7512235.519,4687409.955,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31136,7512420.995,4687394.070,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31137,7512386.736,4687397.151,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31138,7512341.557,4687408.422,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31139,7512312.558,4687414.070,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31140,7512264.278,4687425.894,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31147,7512421.925,4687353.781,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31148,7512380.816,4687361.202,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31149,7512383.216,4687377.302,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31150,7512384.816,4687387.241,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31165,7512289.957,4687386.834,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31166,7512336.426,4687372.433,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31179,7512361.413,4687217.677,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31180,7512359.453,4687204.618,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31203,7512495.662,4687235.043,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31204,7512474.532,4687228.984,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31205,7512422.043,4687221.445,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31212,7512499.911,4687219.103,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
31213,7512498.431,4687227.103,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
32116,7512385.273,4687195.367,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
32117,7512430.812,4687198.686,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
32118,7512460.052,4687200.285,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
32119,7512487.741,4687204.274,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
32120,7512512.041,4687209.393,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
32124,7512456.222,4687210.895,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
32125,7512474.952,4687214.094,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
32210,7512310.047,4687396.423,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
46938,7512276.575,4687392.517,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
47023,7512412.443,4687355.493,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
47024,7512343.958,4687370.528,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
47044,7512516.171,4687224.552,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
47045,7512519.209,4687211.437,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
47046,7512375.361,4687194.667,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
47047,7512370.343,4687194.945,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
47048,7512359.748,4687195.459,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
47049,7512356.905,4687195.565,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
47060,7512512.546,4687240.076,0.000,,0.000,0.000,01:00:00,1970-01-01,0.000,0.000
